location_id,location_name,street_name,locality,sub_locality,city,district,state,pincode,location_type,tourist_destination,latitude,longitude,predicted_safety_score,predicted_risk_level
LOC_106938,Dundwathar,,Dundwathar,,,,Uttar Pradesh,,village,0,26.62746,80.8712,51.80302244451042,RISKY
LOC_106939,Kuddaberi,,Kuddaberi,,,,Andhra Pradesh,,village,0,18.16514,82.77137,56.90188099641329,MODERATE
LOC_106940,Sat home,,Sat home,,,,Punjab,,other,0,31.0155,76.52509,54.73519678688647,RISKY
LOC_106941,Nagla Chandan,,Nagla Chandan,,,,Uttar Pradesh,,village,0,27.84671,78.42903,56.04666159827476,MODERATE
LOC_106942,Sībnāthpur,,Sībnāthpur,,,,Odisha,,village,0,21.70708,84.81036,52.95024157847648,RISKY
LOC_106943,Jhoti,,Jhoti,,,,Uttarakhand,,village,0,30.31782,78.16171,56.19896672570057,MODERATE
LOC_106944,Darād,,Darād,,,,Himachal Pradesh,,village,0,31.51207,77.51495,56.63933825729828,MODERATE
LOC_106945,Katnavādi,,Katnavādi,,,,Karnataka,,village,0,12.11551,77.04606,53.842232231168275,RISKY
LOC_106946,Karambakkudi,,Karambakkudi,,,,Tamil Nadu,,village,0,10.57172,79.55022,58.154451639886965,MODERATE
LOC_106947,Alīpur Juta,,Alīpur Juta,,,,Uttar Pradesh,,village,0,25.75813,81.31675,49.11932134019233,RISKY
LOC_106948,Mohanpur,,Mohanpur,,,,Uttar Pradesh,,village,0,25.40111,82.91405,54.76145068405978,RISKY
LOC_106949,Sonhan,,Sonhan,,,,Uttar Pradesh,,village,0,26.60164,82.87252,46.65807472236675,RISKY
LOC_106950,Rīāla,,Rīāla,,,,Jammu and Kashmir,,village,0,32.96907,74.88456,52.9859319267624,RISKY
LOC_106951,Atarbedia,,Atarbedia,,,,Uttar Pradesh,,village,0,26.47193,82.28607,48.861421100128354,RISKY
LOC_106952,Vettikkod,,Vettikkod,,,,Kerala,,village,0,9.17498,76.58988,53.095274527997944,RISKY
LOC_106953,Jalālpur Zora,,Jalālpur Zora,,,,Uttar Pradesh,,village,0,29.05165,78.05371,55.42880470147148,MODERATE
LOC_106954,Dābha,,Dābha,,,,Maharashtra,,village,0,18.54839,76.15443,57.590020583469176,MODERATE
LOC_106955,Gogali,,Gogali,,,,Karnataka,,village,0,13.81707,75.14881,57.866827062029735,MODERATE
LOC_106956,Rāmnagar,,Rāmnagar,,,,Uttar Pradesh,,village,0,25.98703,81.4168,55.86019280734699,MODERATE
LOC_106957,Venkatāpura,,Venkatāpura,,,,Karnataka,,village,0,13.24531,78.1582,57.24673375858245,MODERATE
LOC_106958,Umariā,,Umariā,,,,Madhya Pradesh,,village,0,23.5105,80.2732,55.25303978978566,MODERATE
LOC_106959,Naudiha,,Naudiha,,,,Uttar Pradesh,,village,0,25.15961,82.41057,51.14836966309031,RISKY
LOC_106960,Chorāri,,Chorāri,,,,Uttar Pradesh,,village,0,25.5905,82.64431,50.00854405806015,RISKY
LOC_106961,Kohli,,Kohli,,,,Uttar Pradesh,,village,0,27.30829,81.50603,48.27571206814735,RISKY
LOC_106962,Lohli,,Lohli,,,,Uttar Pradesh,,village,0,26.55111,80.9607,51.518881604892684,RISKY
LOC_106963,Bhīmbaira,,Bhīmbaira,,,,Madhya Pradesh,,village,0,22.20723,74.37831,57.12638321125297,MODERATE
LOC_106964,Kumilipodoro,,Kumilipodoro,,,,Odisha,,village,0,18.9961,82.46068,57.17411164974023,MODERATE
LOC_106965,Langkhong,,Langkhong,,,,Manipur,,village,0,24.87011,93.55496,51.94598175280298,RISKY
LOC_106966,Bhandsār,,Bhandsār,,,,Bihar,,village,0,25.60594,87.2006,53.33236873329332,RISKY
LOC_106967,Mānpur,,Mānpur,,,,Madhya Pradesh,,village,0,25.99201,78.24871,50.81839230974296,RISKY
LOC_106968,Gudārlahalli,,Gudārlahalli,,,,Karnataka,,village,0,13.45047,78.11215,54.215595272944896,RISKY
LOC_106969,Umgaon,,Umgaon,,,,Maharashtra,,village,0,15.89562,74.12795,48.96282799383229,RISKY
LOC_106970,Venkatanārāyanapuram,,Venkatanārāyanapuram,,,,Andhra Pradesh,,village,0,16.41322,81.30271,56.54867136781202,MODERATE
LOC_106971,Sarauli,,Sarauli,,,,Uttar Pradesh,,village,0,25.6431,81.04585,56.24495873251386,MODERATE
LOC_106972,Bishunpur Matiārwa,,Bishunpur Matiārwa,,,,Bihar,,village,0,26.6625,84.57643,50.461702372340284,RISKY
LOC_106973,Imlia Khurd,,Imlia Khurd,,,,Uttar Pradesh,,village,0,26.32103,82.0851,49.86531755737642,RISKY
LOC_106974,Ammāpatti,,Ammāpatti,,,,Tamil Nadu,,village,0,10.19272,78.3157,59.86225222046844,MODERATE
LOC_106975,Letekujān,,Letekujān,,,,Assam,,village,0,26.58292,93.80505,45.09416963773494,RISKY
LOC_106976,Lodhan,,Lodhan,,,,Uttar Pradesh,,village,0,27.96084,80.90377,49.21437775108916,RISKY
LOC_106977,Phariha,,Phariha,,,,Uttar Pradesh,,village,0,26.44913,79.29483,49.157292184650515,RISKY
LOC_106978,Golyāheri,,Golyāheri,,,,Rajasthan,,village,0,25.14336,76.017,50.84331225395973,RISKY
LOC_106979,Bankipore,,Bankipore,,,,Bihar,,village,0,25.46365,85.278,47.81848234776061,RISKY
LOC_106980,Khaliaguda,,Khaliaguda,,,,Odisha,,village,0,19.94459,83.4765,51.51156727589881,RISKY
LOC_106981,Khaparsar,,Khaparsar,,,,Rajasthan,,village,0,28.36463,73.99584,57.30154721246201,MODERATE
LOC_106982,Narāyanpur,,Narāyanpur,,,,Uttar Pradesh,,village,0,27.49873,82.68767,47.68649268956969,RISKY
LOC_106983,Kulavarai,,Kulavarai,,,,Tamil Nadu,,village,0,11.48256,77.81374,56.32945450847008,MODERATE
